run_id,ts_lectura,codigo,actividad,grupo,profesores_raw,profesores_norm,cupos_disponibles,cupos_totales,orden_lectura
gh-31624873304-0812T1753,2026-08-12T12:54:51-05:00,1000175-B,CLASE TEORICA,(1) Grupo 1 - Clase Remota - Grupo Bogotá,Eduardo Antonio Restrepo Uribe,eduardo antonio restrepo uribe,30,NA,43
gh-31624873304-0812T1753,2026-08-12T12:54:53-05:00,1000141-B,CLASE TEORICA,(1) Grupo 1 - Clase Remota - Sede Bogotá,Nestor Hernando Campos Campos; Jose Ernesto Mancera Pineda,jose ernesto mancera pineda;nestor hernando campos campos,50,NA,45
gh-31624873304-0812T1753,2026-08-12T12:54:55-05:00,1000089-B,CLASE TEORICA,(1) Grupo 1 - Clase Virtual,Jasmin Garcia Pineros,jasmin garcia pineros,0,NA,46
gh-31624873304-0812T1753,2026-08-12T12:54:55-05:00,1000089-B,CLASE TEORICA,(10) Grupo 10 - Clase Virtual,Jasmin Garcia Pineros,jasmin garcia pineros,0,NA,46
gh-31624873304-0812T1753,2026-08-12T12:54:55-05:00,1000089-B,CLASE TEORICA,(11) Grupo 11 - Clase Virtual,Jasmin Garcia Pineros,jasmin garcia pineros,0,NA,46
gh-31624873304-0812T1753,2026-08-12T12:54:55-05:00,1000089-B,CLASE TEORICA,(12) Grupo 12 - Clase Virtual,Jasmin Garcia Pineros,jasmin garcia pineros,0,NA,46
gh-31624873304-0812T1753,2026-08-12T12:54:55-05:00,1000089-B,CLASE TEORICA,(13) Grupo 13 - Clase Virtual,Jasmin Garcia Pineros,jasmin garcia pineros,0,NA,46
gh-31624873304-0812T1753,2026-08-12T12:54:55-05:00,1000089-B,CLASE TEORICA,(14) Grupo 14 - Clase Virtual,Jasmin Garcia Pineros,jasmin garcia pineros,0,NA,46
gh-31624873304-0812T1753,2026-08-12T12:54:55-05:00,1000089-B,CLASE TEORICA,(15) Grupo 15 - Clase Virtual,Jasmin Garcia Pineros,jasmin garcia pineros,0,NA,46
gh-31624873304-0812T1753,2026-08-12T12:54:55-05:00,1000089-B,CLASE TEORICA,(16) Grupo 16 - Clase Virtual,Jasmin Garcia Pineros,jasmin garcia pineros,0,NA,46
gh-31624873304-0812T1753,2026-08-12T12:54:55-05:00,1000089-B,CLASE TEORICA,(17) Grupo 17 - Clase Virtual,Jasmin Garcia Pineros,jasmin garcia pineros,0,NA,46
gh-31624873304-0812T1753,2026-08-12T12:54:55-05:00,1000089-B,CLASE TEORICA,(18) Grupo 18 - Clase Virtual,Jasmin Garcia Pineros,jasmin garcia pineros,0,NA,46
gh-31624873304-0812T1753,2026-08-12T12:54:55-05:00,1000089-B,CLASE TEORICA,(19) Grupo 19 - Clase Virtual,Jasmin Garcia Pineros,jasmin garcia pineros,0,NA,46
gh-31624873304-0812T1753,2026-08-12T12:54:55-05:00,1000089-B,CLASE TEORICA,(2) Grupo 2 - Clase Virtual,Jasmin Garcia Pineros,jasmin garcia pineros,0,NA,46
gh-31624873304-0812T1753,2026-08-12T12:54:55-05:00,1000089-B,CLASE TEORICA,(20) Grupo 20 - Clase Virtual,Jasmin Garcia Pineros,jasmin garcia pineros,0,NA,46
gh-31624873304-0812T1753,2026-08-12T12:54:55-05:00,1000089-B,CLASE TEORICA,(21) Grupo 21 - Clase Virtual,Jasmin Garcia Pineros,jasmin garcia pineros,0,NA,46
gh-31624873304-0812T1753,2026-08-12T12:54:55-05:00,1000089-B,CLASE TEORICA,(3) Grupo 3 - Clase Virtual,Jasmin Garcia Pineros,jasmin garcia pineros,0,NA,46
gh-31624873304-0812T1753,2026-08-12T12:54:55-05:00,1000089-B,CLASE TEORICA,(4) Grupo 4 - Clase Virtual,Jasmin Garcia Pineros,jasmin garcia pineros,0,NA,46
gh-31624873304-0812T1753,2026-08-12T12:54:55-05:00,1000089-B,CLASE TEORICA,(5) Grupo 5 - Clase Virtual,Jasmin Garcia Pineros,jasmin garcia pineros,0,NA,46
gh-31624873304-0812T1753,2026-08-12T12:54:55-05:00,1000089-B,CLASE TEORICA,(6) Grupo 6 - Clase Virtual,Jasmin Garcia Pineros,jasmin garcia pineros,0,NA,46
gh-31624873304-0812T1753,2026-08-12T12:54:55-05:00,1000089-B,CLASE TEORICA,(7) Grupo 7 - Clase Virtual,Jasmin Garcia Pineros,jasmin garcia pineros,0,NA,46
gh-31624873304-0812T1753,2026-08-12T12:54:55-05:00,1000089-B,CLASE TEORICA,(8) Grupo 8 - Clase Virtual,Jasmin Garcia Pineros,jasmin garcia pineros,0,NA,46
gh-31624873304-0812T1753,2026-08-12T12:54:55-05:00,1000089-B,CLASE TEORICA,(9) Grupo 9 - Clase Virtual,Jasmin Garcia Pineros,jasmin garcia pineros,0,NA,46
gh-31624873304-0812T1753,2026-08-12T12:54:57-05:00,1000168-B,CLASE TEORICA,(1) Grupo 1 - Clase Remota - Grupo Bogotá,Adriana Isabel Orjuela Martinez; SANDRA PATRICIA DAZA CAICEDO,adriana isabel orjuela martinez;sandra patricia daza caicedo,20,NA,48
gh-31624873304-0812T1753,2026-08-12T12:54:59-05:00,1000167-B,CLASE TEORICA,(1) Grupo 1 - Clase Remota - Grupo Bogotá,Luis Alberto Sanchez Alfaro,luis alberto sanchez alfaro,156,NA,49
gh-31624873304-0812T1753,2026-08-12T12:55:00-05:00,1000172-B,CLASE TEORICA,(1) Grupo 1 - Clase Remota - Grupo Bogotá,Monica Reinartz Estrada,monica reinartz estrada,20,NA,50
gh-31624873304-0812T1753,2026-08-12T12:55:01-05:00,1000145-B,CLASE TEORICA,(1) Grupo 1 - Clase Remota - Sede Bogotá,Viviana Vargas Franco,viviana vargas franco,60,NA,51
gh-31624873304-0812T1753,2026-08-12T12:55:03-05:00,1000173-B,CLASE TEORICA,(1) Grupo 1 - Clase Remota - Grupo Bogotá,MONICA AYDE VALLEJO VELASQUEZ,monica ayde vallejo velasquez,50,NA,53
gh-31624873304-0812T1753,2026-08-12T12:55:07-05:00,1000171-B,CLASE TEORICA,(1) Grupo 1 - Clase Remota - Grupo Bogotá,María Luisa Villalba Morales,maria luisa villalba morales,40,NA,56
gh-31624873304-0812T1753,2026-08-12T12:55:09-05:00,1000174-B,CLASE TEORICA,(1) Grupo 1 - Clase Remota - Grupo Bogotá,No informado,NA,30,NA,58
gh-31624873304-0812T1753,2026-08-12T12:55:11-05:00,1000169-B,CLASE TEORICA,(1) Grupo 1 - Clase Remota - Grupo Bogotá,Julian Alejandro Osorio Osorio,julian alejandro osorio osorio,30,NA,59
gh-31624873304-0812T1753,2026-08-12T12:55:13-05:00,2028643,NA,(1) Grupo 1 - Virtual Bogotá,Jose Ismael Peña Reyes,jose ismael pena reyes,100,NA,61
